what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1372486873225
java.vendor,sysinfo,,,"Oracle Corporation",1372486873225
java.version,sysinfo,,,"1.7.0_21",1372486873225
java.vm.info,sysinfo,,,"mixed mode, sharing",1372486873225
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372486873225
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372486873225
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372486873225
java.vm.specification.version,sysinfo,,,"1.7",1372486873225
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372486873225
java.vm.version,sysinfo,,,"23.21-b01",1372486873225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372486926887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372486930077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372487062700
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372487064240
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1372487064256
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1372487064268
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1372487064400
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487070397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372487070637
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1372487073215
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1372487073404
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1372487073443
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1372487073523
